date,builds_today
2025-12-10,230
2025-12-11,121
2025-12-15,90
2025-12-16,14
2025-12-17,295
2025-12-18,147
2025-12-19,101
2025-12-20,29
2025-12-21,184
2025-12-22,380
2025-12-23,45
2025-12-24,10
2025-12-25,24
2025-12-26,46
2025-12-27,297
2025-12-28,78
2025-12-29,127
2025-12-30,42
2025-12-31,1
2026-01-01,107
2026-01-02,79
2026-01-03,79
2026-01-04,188
2026-01-05,103
2026-01-06,227
2026-01-07,263
2026-01-08,157
2026-01-09,71
2026-01-10,153
2026-01-11,66
2026-01-12,85
2026-01-13,268
2026-01-14,169
2026-01-15,35
2026-01-16,17
2026-01-17,100
2026-01-18,24
2026-01-19,63
2026-01-21,121
2026-01-22,23
2026-01-23,24
2026-01-24,50
2026-01-25,12
2026-01-26,34
2026-01-27,70
2026-01-28,20
2026-01-29,76
2026-01-30,5
2026-01-31,4
2026-02-02,27
2026-02-03,123
2026-02-04,257
2026-02-06,143
2026-02-08,82
2026-02-09,118
2026-02-10,122
2026-02-14,164
2026-02-22,65
2026-02-23,76
2026-02-24,50
2026-02-25,272
2026-02-26,138
2026-02-27,81
2026-02-28,189
2026-03-03,147
2026-03-04,89
2026-03-05,291
2026-03-06,56
2026-03-07,84
2026-03-08,140
2026-03-09,377
2026-03-10,318
2026-03-11,321
2026-03-12,112
2026-03-13,330
2026-03-14,230
2026-03-15,76
2026-03-16,228
2026-03-17,95
2026-03-18,106
2026-03-19,151
2026-03-20,60
2026-03-21,56
2026-03-22,52
2026-03-23,51
2026-03-24,115
2026-03-25,84
2026-03-26,231
2026-03-27,66
2026-03-28,104
2026-03-29,120
2026-03-30,242
2026-03-31,69
